level_0,index,id,jid,jyear,jcase,jno,jdate_dt,jtitle,jtype,litigation_type,etl_datetime,source_id,source_cnt,source_id_v2,source_cnt_v2,精神慰撫金額,醫療費用,薪資收入
0,0,35864,"CLEV,106,壢簡,1417,20180629,2",106,壢簡,1417,1530230400000,損害賠償,中壢簡易庭,民事判決,1688136019337,0,1,0,1,"200,000元","23,990元","20,008元"
1,1,36141,"CLEV,107,壢小,1073,20181228,2",107,壢小,1073,1545955200000,損害賠償,中壢簡易庭,民事判決,1688136019337,1,1,1,1,"30,000元","4,373元",nan
2,2,124007,"HLDV,107,原訴,15,20180822,1",107,原訴,15,1534896000000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,2,1,2,1,1萬元,416元,"41,000元"
3,3,124501,"HLDV,108,原訴,10,20190531,1",108,原訴,10,1559260800000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,3,1,3,1,25萬元,"33,566元","22,000元"
4,4,129558,"HUEV,107,虎簡,83,20180629,1",107,虎簡,83,1530230400000,損害賠償,虎尾簡易庭,民事判決,1688136019337,4,1,4,1,"50,000","26,819元","21,009元"
5,5,215900,"KSEV,107,雄簡,1353,20180730,1",107,雄簡,1353,1532908800000,損害賠償,高雄簡易庭,民事判決,1688136019337,5,1,5,1,"100,000元","125,748元",3萬
9,9,370466,"PTDV,106,訴,394,20180717,1",106,訴,394,1531785600000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,9,1,9,1,70萬元,299502,"1萬9,305元"
11,11,508084,"TCDV,107,訴,754,20180717,1",107,訴,754,1531785600000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,11,1,11,1,nan,nan,nan
14,14,663031,"TPEV,108,北簡,1009,20190919,2",108,北簡,1009,1568851200000,侵權行為損害賠償,臺北簡易庭,民事判決,1688136019337,14,1,14,1,8萬元,"14,176元",nan
16,16,804728,"TYEV,106,桃簡,1492,20180726,1",106,桃簡,1492,1532563200000,損害賠償,桃園簡易庭,民事判決,1688136019337,16,1,16,1,10萬元,"21,930元","17,280元"
17,17,30769,"CHDV,107,訴,733,20180919,1",107,訴,733,1537315200000,損害賠償,臺灣彰化地方法院,民事判決,1688136019337,17,1,17,1,15萬元,"3,329元",nan
18,18,34061,"CHEV,107,彰簡,616,20190122,1",107,彰簡,616,1548115200000,損害賠償,彰化簡易庭,民事判決,1688136019337,18,1,18,1,"10,000元","3,480元",nan
19,19,36250,"CLEV,107,壢小,366,20190731,2",107,壢小,366,1564531200000,損害賠償,中壢簡易庭,民事判決,1688136019337,19,1,19,1,nan,nan,nan
20,20,36556,"CLEV,107,壢簡,746,20180928,1",107,壢簡,746,1538092800000,損害賠償,中壢簡易庭,民事判決,1688136019337,20,1,20,1,"20,000元","3,815元",nan
