level_0,index,id,jid,jyear,jcase,jno,jdate_dt,jtitle,jtype,litigation_type,etl_datetime,source_id,source_cnt,source_id_v2,source_cnt_v2,精神慰撫金額,醫療費用,薪資收入,頭頸部,臉,胸部,腹部,背部,骨盆,上肢,下肢,其他,骨折,骨裂,擦挫傷,撕裂傷,鈍傷,損傷,胸部損傷,神經損傷,拉傷,扭傷,灼傷,脫位,壓迫,破缺損,腦震盪,壞死,內出血,水腫,瘀血,栓塞,剝離,截肢,衰竭,休克,失能,死亡,肇責 0/100,肇責 10/90,肇責 20/80,肇責 30/70,肇責 40/60,肇責 50/50,肇責 60/40,肇責 70/30,肇責 80/20,肇責 90/10,肇責 100/0,未滿18歲(高中以下),18-24歲(大學、研究所),25-29歲,30-39歲,40-49歲,50-59歲,60-64歲,65歲以上(退休)
0,0,35864,"CLEV,106,壢簡,1417,20180629,2",106,壢簡,1417,1530230400000,損害賠償,中壢簡易庭,民事判決,1688136019337,0,1,0,1,200000.0,23990,20008,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,36141,"CLEV,107,壢小,1073,20181228,2",107,壢小,1073,1545955200000,損害賠償,中壢簡易庭,民事判決,1688136019337,1,1,1,1,30000.0,4373,20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,124007,"HLDV,107,原訴,15,20180822,1",107,原訴,15,1534896000000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,2,1,2,1,10000.0,416,41000,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,124501,"HLDV,108,原訴,10,20190531,1",108,原訴,10,1559260800000,侵權行為損害賠償,臺灣花蓮地方法院,民事判決,1688136019337,3,1,3,1,250000.0,33566,22000,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,129558,"HUEV,107,虎簡,83,20180629,1",107,虎簡,83,1530230400000,損害賠償,虎尾簡易庭,民事判決,1688136019337,4,1,4,1,50000.0,26819,21009,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,215900,"KSEV,107,雄簡,1353,20180730,1",107,雄簡,1353,1532908800000,損害賠償,高雄簡易庭,民事判決,1688136019337,5,1,5,1,100000.0,125748,30000,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,370466,"PTDV,106,訴,394,20180717,1",106,訴,394,1531785600000,請求侵權行為損害賠償,臺灣屏東地方法院,民事判決,1688136019337,9,1,9,1,700000.0,299502,19305,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,11,508084,"TCDV,107,訴,754,20180717,1",107,訴,754,1531785600000,損害賠償,臺灣臺中地方法院,民事判決,1688136019337,11,1,11,1,700000.0,299502,19305,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,663031,"TPEV,108,北簡,1009,20190919,2",108,北簡,1009,1568851200000,侵權行為損害賠償,臺北簡易庭,民事判決,1688136019337,14,1,14,1,80000.0,14176,19305,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,804728,"TYEV,106,桃簡,1492,20180726,1",106,桃簡,1492,1532563200000,損害賠償,桃園簡易庭,民事判決,1688136019337,16,1,16,1,100000.0,21930,17280,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
